| ID | Nama Rusun | Kabupaten/Kota |
| 158 | Yayasan PP. Al Hidayah Salafiyah Syafi'iyah Sumenep | Kab. Sumenep |
| 162 | YPP. Al Falah Trenggalek | Kab. Trenggalek |
| 163 | YPP. Darul Amin Pamekasan | Kab. Pamekasan |
| 283 | IKAHA Jombang | Kab. Jombang |
| 293 | Kodam V/ Brawijaya Malang | Kota Malang |
| 295 | Lanud TNI AU Iswahyudi Madiun | Kota Madiun |
| 297 | PP. Al-Ghazali Dukuh Dempok Wuluhan Jember | Kab. Jember |
| 298 | PP. Gontor Ponorogo | Kab. Ponorogo |
| 300 | PP. Al Amin Kediri Ngasinan Rejomulyo Kota Kediri Prov. Jatim | Kota Kediri |
| 301 | PP. Al Falah Purtri Kabupaten Kediri | Kab. Kediri |
| 302 | PP. Al Ihsan Kab. Sampang | Kab. Sampang |
| 303 | PP. Al Islah Gresik Jl. Pesantren RT. 14 RW. 5 Bungah Kab. Gresik Prov. Jatim | Kab. Gresik |
| 305 | PP. Al-Hikmah Tambak Beras Desa Tambakrejo Kab. Jombang Prov. Jatim | Kab. Jombang |
| 306 | PP. Al-Kamal Blitar Kunir Wonodadi Kota Blitar Prov. Jatim | Kota Blitar |
| 307 | PP. Al-Urwatul Wutsqo Kab. Jombang | Kab. Jombang |
| 308 | PP. An Nur 1 Kab. Malang | Kab. Malang |
| 309 | PP. Lirboyo Kediri Jl. HK Abdul Karim Lirboyo Mojoroto Kota Kediri Prov. Jatim | Kota Kediri |
| 310 | Univ. Muhammadiyah Kab. Ponorogo | Kab. Ponorogo |
| 311 | Univ. Muhammadiyah Kab. Sidoarjo | Kab. Sidoarjo |
| 332 | Yayasan Riyadlut Thullab (Pondok Pesantren Riyadlut Thullab) | Kab. Pasuruan |
| 335 | Institut Darussalam Gontor Ponorogo | Kab. Ponorogo |
| 337 | Pemkab Gresik (Pekerja Bambe) | Kab. Gresik |
| 339 | Univ. Negeri Jember | Kab. Jember |
